fire_lag,climate_lag,fit_intercept,model_file,train_rmse,train_mae,train_mean_residual,train_std_residual,train_r2,train_exact_match_percentage,val_rmse,val_mae,val_mean_residual,val_std_residual,val_r2,val_exact_match_percentage
27,3,True,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_1/trial_001.pkl,0.8323776447408128,0.3915003219575016,0.028332260141661302,0.8318953218401508,0.5272022499250213,0.716677398583387,1.4525460784051258,0.7857142857142857,0.11538461538461539,1.447955973233528,0.47799100332193656,0.5824175824175825
30,5,True,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_1/trial_002.pkl,0.8289130076151227,0.3929032258064516,0.031612903225806455,0.8283099652564758,0.5318556524441913,0.7129032258064516,1.4190617547296043,0.7774725274725275,0.10714285714285714,1.4150111914396752,0.5017804758267962,0.5769230769230769
14,4,True,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_1/trial_003.pkl,0.8412739954877192,0.3929032258064516,0.031612903225806455,0.8406798200465542,0.5177893434096507,0.7180645161290322,1.4122696252860125,0.7802197802197802,0.0989010989010989,1.4088023520500133,0.5065383703277682,0.5741758241758241
28,7,True,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_1/trial_004.pkl,0.8265747434150241,0.39419354838709675,0.025161290322580646,0.8261916944153552,0.5344930853881678,0.7109677419354838,1.4267845968170128,0.7774725274725275,0.10164835164835165,1.4231591261420697,0.49634288211139965,0.5796703296703297
25,6,True,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_1/trial_005.pkl,0.8335698589065103,0.3929032258064516,0.032903225806451615,0.8329202167128308,0.5265807865562386,0.7148387096774194,1.4180934422628895,0.7802197802197802,0.12087912087912088,1.4129321459732245,0.5024601750412208,0.5741758241758241
7,3,True,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_1/trial_006.pkl,0.8416573511674412,0.39483870967741935,0.03612903225806452,0.8408815551564259,0.5173497712523212,0.7180645161290322,1.422928415179511,0.7664835164835165,0.1346153846153846,1.4165464951600164,0.4990616789690979,0.5934065934065934
14,7,True,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_1/trial_007.pkl,0.842423539174232,0.3935483870967742,0.025806451612903226,0.8420281743564104,0.5164706269376624,0.7161290322580646,1.4112966526419035,0.771978021978022,0.10714285714285714,1.4072237384017892,0.5072180695421926,0.5879120879120879
24,4,False,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_1/trial_008.pkl,0.8370454953527452,0.3987096774193548,0.025806451612903226,0.8366475890991819,0.5226246371402741,0.7096774193548387,1.4363797593905359,0.7884615384615384,0.11263736263736264,1.4319565767595444,0.4895458899671541,0.5741758241758241
14,6,False,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_1/trial_009.pkl,0.8389701828682206,0.3903225806451613,0.031612903225806455,0.838374374662997,0.520426776353627,0.7187096774193549,1.4142135623730951,0.7747252747252747,0.09340659340659341,1.411125511181828,0.505178971898919,0.5851648351648352
7,4,False,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_1/trial_010.pkl,0.8439538284267268,0.3987096774193548,0.03096774193548387,0.8433854773918901,0.5147123383083448,0.7141935483870968,1.4180934422628895,0.7692307692307693,0.12637362637362637,1.4124513151065385,0.5024601750412208,0.5906593406593407
17,5,True,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_1/trial_011.pkl,0.8443359673769983,0.40064516129032257,0.025161290322580646,0.8439609797115946,0.5142727661510155,0.7096774193548387,1.4142135623730951,0.7747252747252747,0.09340659340659341,1.411125511181828,0.505178971898919,0.5769230769230769
13,5,True,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_1/trial_012.pkl,0.8405067595821141,0.39419354838709675,0.03806451612903226,0.8396443922965773,0.5186684877243095,0.7161290322580646,1.4112966526419035,0.782967032967033,0.09615384615384616,1.4080172866936203,0.5072180695421926,0.5686813186813187
9,6,True,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_1/trial_013.pkl,0.8339567560537788,0.3935483870967742,0.024516129032258065,0.833596323399411,0.5261412143989093,0.7154838709677419,1.4171244681543531,0.7664835164835165,0.12362637362637363,1.4117217424073876,0.5031398742556453,0.5879120879120879
18,5,False,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_1/trial_014.pkl,0.8385855987623523,0.3935483870967742,0.03096774193548387,0.8380136069366835,0.5208663485109564,0.7174193548387097,1.4219627357909286,0.7802197802197802,0.09340659340659341,1.4188915498677823,0.4997413781835225,0.5741758241758241
8,6,True,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_1/trial_015.pkl,0.8312446943803514,0.3903225806451613,0.02903225806451613,0.8307375457550712,0.529218219500215,0.7180645161290322,1.4287087846054531,0.771978021978022,0.1346153846153846,1.422352800620733,0.4949834836825505,0.5879120879120879
19,3,False,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_1/trial_016.pkl,0.8477674665964452,0.3961290322580645,0.03096774193548387,0.8472016739707093,0.5103166167350508,0.7174193548387097,1.4054446717230549,0.771978021978022,0.09615384615384616,1.4021516191712464,0.51129626482874,0.5796703296703297
27,7,False,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_1/trial_017.pkl,0.829302077342069,0.39483870967741935,0.02064516129032258,0.829045060777258,0.5314160802868619,0.7109677419354838,1.4190617547296043,0.7774725274725275,0.09065934065934066,1.416162825273802,0.5017804758267962,0.5769230769230769
25,4,True,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_1/trial_018.pkl,0.8273548990803512,0.39161290322580644,0.025161290322580646,0.8269722114445931,0.533613941073509,0.7135483870967742,1.427747014866968,0.7857142857142857,0.11538461538461539,1.423076923076923,0.4956631828969751,0.5741758241758241
8,4,False,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_1/trial_019.pkl,0.8477674665964452,0.4012903225806452,0.03354838709677419,0.8471034075852605,0.5103166167350508,0.712258064516129,1.4209964001470128,0.771978021978022,0.12362637362637363,1.4156084518590448,0.5004210773979471,0.5879120879120879
9,4,True,/nfshome/samuel/ThesisProject/Model_Training_Evaluation_Selection/Linear_Regression/Single_Zone_Tuning/models/zone_1/trial_020.pkl,0.8355025530356159,0.3961290322580645,0.03483870967741935,0.8347758863533641,0.5243829257695916,0.7135483870967742,1.4306303843772146,0.771978021978022,0.12912087912087913,1.4247915971391563,0.4936240852537015,0.5906593406593407
