batch_size,learning_rate,optimizer,lag_days,sequence_length,d_model,num_heads,ff_dim,num_layers,dropout_rate,month_embed_dim,dow_embed_dim,train_rmse,train_mae,train_mean_residual,train_std_residual,train_r2,train_exact_match_percentage,val_rmse,val_mae,val_mean_residual,val_std_residual,val_r2,val_exact_match_percentage,model_file
16,0.00010500215104453339,rmsprop,1,14,64,2,64,2,0.20317826794817836,4,2,2.9285419285842633,1.865814696485623,-0.38466453674121404,2.9031691341790107,0.7392080659127473,0.17252396166134185,3.652396473549935,2.3857142857142857,0.29428571428571426,3.640521380017888,0.6835802723244704,0.16285714285714287,models/regional_transformer/trial_001.h5
16,0.00023962787899764536,rmsprop,2,11,64,4,64,1,0.23799273006373373,8,4,3.0024452914487796,1.9783024888321634,-0.7594128908742821,2.904818374583326,0.7256159238603174,0.14805360561582642,3.667482096640483,2.453257790368272,-0.15864022662889518,3.664049427569667,0.6792418671001509,0.1529745042492918,models/regional_transformer/trial_002.h5
32,0.000265880932850599,rmsprop,3,13,64,2,64,2,0.2985221520660758,4,2,3.2799865884573918,2.170076726342711,-0.7340153452685422,3.1968005088479736,0.6729980930133375,0.1707161125319693,3.8993753608915624,2.663817663817664,-0.1623931623931624,3.895992385251305,0.6386767294471734,0.1623931623931624,models/regional_transformer/trial_003.h5
16,0.00013268049875238567,rmsprop,2,27,64,4,64,1,0.2821802594006808,8,4,2.9161945827767353,1.5950999355254674,0.501611863313991,2.8727297790079462,0.7432202749053247,0.4126370083816892,4.024774907542014,2.4421364985163203,1.0593471810089021,3.88285933385029,0.6254544691999266,0.314540059347181,models/regional_transformer/trial_004.h5
32,0.00012857431808841252,adam,1,30,128,4,128,2,0.22193207591572833,4,4,3.168396229565904,1.8347320852162685,-0.1368624919302776,3.1654388836036733,0.6971788607650731,0.31697869593285993,3.8598191140018945,2.4730538922155687,0.31137724550898205,3.8472389844918147,0.6568094452236171,0.24550898203592814,models/regional_transformer/trial_005.h5
16,0.00023605668205130368,adam,3,24,128,4,64,2,0.2434765250669105,8,2,2.9347925110755333,1.8415969092079845,-0.231809401159047,2.9256232642975957,0.7396273222169746,0.18480360592401804,3.935135844878428,2.485294117647059,0.47352941176470587,3.906541182918828,0.640381206769054,0.18823529411764706,models/regional_transformer/trial_006.h5
16,0.00020787580602392515,adam,3,17,128,2,64,2,0.28787218778231843,8,2,2.9372715404885708,1.851923076923077,-0.5198717948717949,2.8908990676709694,0.7383494181588048,0.21474358974358973,3.794049641229708,2.4293948126801155,0.23919308357348704,3.786502257874129,0.6603018441633375,0.20461095100864554,models/regional_transformer/trial_007.h5
32,0.000292872581201491,adam,3,16,128,4,128,2,0.21210041958682657,4,2,3.087450575639185,1.7962844330557335,-0.1806534272901986,3.0821608323095404,0.71078613490526,0.34657270980140936,4.008969827831057,2.531609195402299,0.4109195402298851,3.9878545876093616,0.6202542610975839,0.29310344827586204,models/regional_transformer/trial_008.h5
16,0.0001556954527929094,rmsprop,1,24,64,4,64,2,0.2807496997766643,4,2,2.8820321519301,1.8430868167202572,-0.5157556270096463,2.835507971769208,0.7486362170811851,0.19163987138263666,3.6420743927537975,2.3823529411764706,-0.14705882352941177,3.6391042283472848,0.6919504734147071,0.18235294117647058,models/regional_transformer/trial_009.h5
16,0.00014973126678405712,adam,3,21,64,4,64,2,0.24626280684009674,4,4,3.162379274141837,1.8052699228791773,-0.005784061696658098,3.1623739845489713,0.6972258877528328,0.3329048843187661,4.198083694441948,2.626822157434402,0.7142857142857143,4.136871115215786,0.5882242545205398,0.2653061224489796,models/regional_transformer/trial_010.h5
