batch_size,learning_rate,optimizer,lag_days,sequence_length,d_model,num_heads,ff_dim,num_layers,dropout_rate,month_embed_dim,dow_embed_dim,train_rmse,train_mae,train_mean_residual,train_std_residual,train_r2,train_exact_match_percentage,val_rmse,val_mae,val_mean_residual,val_std_residual,val_r2,val_exact_match_percentage,model_file
32,0.0001853528012521916,rmsprop,2,11,128,2,64,1,0.20932301017036775,4,4,0.6480051367905628,0.2744097000638162,0.03956604977664327,0.6467960922980505,0.2403560524795776,0.7753669432035737,0.6690232193195305,0.3059490084985836,0.0113314447592068,0.6689272504154227,-0.026691701641999854,0.7450424929178471,models/zone_4_transformer/trial_001.h5
32,0.000273618429773813,adam,2,26,128,4,64,1,0.21547301758582615,8,2,0.6550753478342825,0.26288659793814434,0.09664948453608248,0.647906311498133,0.229274723439285,0.791881443298969,0.6412820000205025,0.27514792899408286,0.09763313609467456,0.633806259267463,0.08467113466334175,0.7781065088757396,models/zone_4_transformer/trial_002.h5
32,0.0002690310322656716,adam,3,28,128,2,64,2,0.2702698772865605,8,4,0.6765461215733051,0.27437056165267915,0.105229180116204,0.6683124076866691,0.17887295510960932,0.7856681730148483,0.7028852104345482,0.30952380952380953,0.14285714285714285,0.6882146872759348,-0.09424782233383033,0.7529761904761905,models/zone_4_transformer/trial_003.h5
32,0.00013148185516901774,rmsprop,3,17,64,2,64,1,0.27544358791249857,4,2,0.655352713801644,0.2641025641025641,0.11794871794871795,0.6446512851312974,0.22561200138400006,0.7923076923076923,0.6790398374650439,0.29394812680115273,0.138328530259366,0.6648009616274911,-0.045810729355033164,0.7665706051873199,models/zone_4_transformer/trial_004.h5
16,0.00016903457109617237,adam,2,28,128,4,64,1,0.2395263396087629,4,2,0.6772810918808784,0.28193548387096773,0.0703225806451613,0.6736203768227025,0.17663390037423343,0.7767741935483871,0.7216878364870323,0.34226190476190477,0.05654761904761905,0.7194690404134001,-0.15357451149650791,0.7232142857142857,models/zone_4_transformer/trial_005.h5
32,0.00013513896037516848,rmsprop,3,29,64,4,64,2,0.28617643620225885,4,4,0.6819943394704735,0.2997416020671835,0.05297157622739018,0.6799340344340421,0.1660549902692947,0.7545219638242894,0.7570563574518141,0.3641791044776119,0.023880597014925373,0.756679618758441,-0.2662912942473521,0.7044776119402985,models/zone_4_transformer/trial_006.h5
32,0.0002664051826143414,rmsprop,1,20,64,2,128,2,0.2523962543000632,8,4,0.6422179336318657,0.2738935214881334,0.03527902501603592,0.6412482083189797,0.2567493623583842,0.7761385503527902,0.6241272976892857,0.29069767441860467,0.0,0.6241272976892857,0.12023818612107806,0.747093023255814,models/zone_4_transformer/trial_007.h5
16,0.00014725376978934487,adam,2,13,64,2,64,1,0.29512921405795817,8,4,0.649403757008391,0.2722044728434505,0.07412140575079872,0.6451598691999827,0.2379056534724765,0.7789137380191693,0.6666666666666666,0.301994301994302,0.022792022792022793,0.6662769455275279,-0.01769385175823346,0.7492877492877493,models/zone_4_transformer/trial_008.h5
32,0.0002728493749662832,rmsprop,1,21,64,4,128,2,0.2796329679151428,4,4,0.7170220830089298,0.36392811296534017,-0.08536585365853659,0.7119222840673088,0.0740289776357117,0.6842105263157895,0.7324227936704637,0.4139941690962099,-0.10495626822157435,0.7248636633526664,-0.20862537822206906,0.6268221574344023,models/zone_4_transformer/trial_009.h5
16,0.00018994674073018127,adam,2,26,128,2,64,2,0.21035018772703917,8,2,0.654091011669165,0.27319587628865977,0.05154639175257732,0.6520567621332377,0.2315892137592872,0.7802835051546392,0.6858674807741157,0.3224852071005917,0.03254437869822485,0.6850949310851588,-0.04703086034912696,0.7307692307692307,models/zone_4_transformer/trial_010.h5
16,0.0002578453863127329,rmsprop,1,17,64,4,128,2,0.27237336550024616,4,4,0.6151106205750102,0.25032010243277847,0.07234314980793854,0.6108416686998688,0.3170475840298056,0.7964148527528809,0.6191003978303196,0.2622478386167147,0.07204610951008646,0.6148940239570723,0.13066983122362863,0.7838616714697406,models/zone_4_transformer/trial_011.h5
32,0.0002626369567629602,adam,3,28,128,4,64,2,0.23088660700638808,4,4,0.6606137960077664,0.2775984506132989,0.07230471271788251,0.6566449695189748,0.21709184436402806,0.775984506132989,0.67700320038633,0.30952380952380953,0.05952380952380952,0.6743813827746927,-0.015145570116926965,0.7440476190476191,models/zone_4_transformer/trial_012.h5
32,0.00027527855450854835,adam,3,19,64,2,64,1,0.2721182997805427,4,4,0.6659709677682213,0.27278562259306804,0.10847240051347883,0.6570776729101246,0.20119104063205595,0.7830551989730423,0.6852482888641929,0.3188405797101449,0.0463768115942029,0.6836771231638953,-0.05992793476199498,0.7333333333333333,models/zone_4_transformer/trial_013.h5
16,0.00016189357931255792,rmsprop,1,18,128,4,128,2,0.2502906691487579,8,2,0.6472728974053887,0.26521460602178093,0.07303010890454836,0.6431398035489304,0.24417525109165472,0.7866752081998719,0.6129621059678985,0.2543352601156069,0.09248554913294797,0.6059446893522363,0.14986108223553662,0.791907514450867,models/zone_4_transformer/trial_014.h5
16,0.00025262336605833815,rmsprop,2,23,64,4,64,1,0.28167032558555005,8,2,0.6637126407214015,0.2733118971061093,0.08038585209003216,0.6588266723783545,0.20790463102600032,0.7819935691318328,0.6913796823038982,0.3196480938416422,0.04985337243401759,0.6895799492151685,-0.07174810072885718,0.7390029325513197,models/zone_4_transformer/trial_015.h5
16,0.00026783525752232113,rmsprop,1,11,64,4,128,1,0.2758841154765607,8,4,0.6378775392675626,0.2538265306122449,0.10204081632653061,0.6296629470641067,0.2635137522822312,0.7991071428571429,0.6297623095837334,0.254957507082153,0.11331444759206799,0.6194839808575703,0.09027317576025329,0.7960339943342776,models/zone_4_transformer/trial_016.h5
32,0.00012223737206484768,rmsprop,1,16,64,2,64,2,0.263895173217281,8,2,0.6323543634283684,0.2591170825335892,0.08509277031349968,0.6266029535417711,0.2781854052136904,0.7920665387076136,0.6477192523656043,0.28160919540229884,0.06896551724137931,0.6440372561557961,0.046163666059661934,0.7672413793103449,models/zone_4_transformer/trial_017.h5
32,0.0001374627823596765,adam,3,18,64,2,128,2,0.20435344251667767,8,4,0.6599512101234646,0.2764592687620269,0.07761385503527903,0.6553714132077992,0.21513657393676955,0.7793457344451572,0.684257329142735,0.3179190751445087,0.03468208092485549,0.6833778206440937,-0.05940388213725445,0.7369942196531792,models/zone_4_transformer/trial_018.h5
32,0.0002627017731112176,adam,3,21,128,2,64,1,0.2716045057596195,8,2,0.6327603054183397,0.2577120822622108,0.07647814910025708,0.6281215621384999,0.279665494331401,0.7924164524421594,0.6935773660394461,0.33527696793002915,0.026239067055393587,0.6930808567853237,-0.0838216706882684,0.717201166180758,models/zone_4_transformer/trial_019.h5
32,0.00015066275304052347,adam,2,18,64,4,128,1,0.27993424115182397,8,4,0.6474803234313528,0.26666666666666666,0.06794871794871794,0.6439050713885509,0.24410484911214336,0.7852564102564102,0.6905639816242685,0.3265895953757225,0.031791907514450865,0.6898317819101666,-0.07902247254720351,0.7283236994219653,models/zone_4_transformer/trial_020.h5
32,0.0002602296174803547,rmsprop,1,20,64,4,128,1,0.20800689110749954,8,4,0.6531121529146414,0.2674791533033996,0.09172546504169339,0.6466389435749157,0.2313193249896197,0.7870429762668377,0.6819943394704735,0.313953488372093,0.0755813953488372,0.677793280983878,-0.05046186731811586,0.7412790697674418,models/zone_4_transformer/trial_021.h5
32,0.00022297029643975286,rmsprop,2,27,64,2,128,2,0.2513086019464552,4,2,0.6383408539149896,0.26305609284332687,0.058027079303675046,0.6356979658960716,0.26818758034966383,0.7878787878787878,0.686884334528581,0.3293768545994065,0.026706231454005934,0.6863649657596872,-0.04756598240469212,0.7210682492581603,models/zone_4_transformer/trial_022.h5
32,0.0002897647058531113,rmsprop,2,9,64,4,128,2,0.26495607367060314,4,2,0.666029013085399,0.2664117272147865,0.12237093690248566,0.654690766754136,0.19663476817684244,0.7922243467176545,0.6434939836876904,0.2563380281690141,0.11549295774647887,0.6330449302800107,0.04851766765124166,0.8028169014084507,models/zone_4_transformer/trial_023.h5
16,0.0001245274843807942,adam,2,12,128,2,128,2,0.2709540486819588,8,4,0.6372835069254764,0.2656449553001277,0.06641123882503193,0.6338137072965196,0.26568637859645394,0.7835249042145593,0.672089685573693,0.3039772727272727,0.05397727272727273,0.6699186513924441,-0.03368794326241131,0.75,models/zone_4_transformer/trial_024.h5
32,0.00021080428745191902,rmsprop,2,24,64,2,64,2,0.23981599807709086,8,4,0.6546536707079771,0.287001287001287,0.01287001287001287,0.6545271509572038,0.229802830107943,0.7619047619047619,0.6816933932149711,0.34705882352941175,-0.047058823529411764,0.6800671654189525,-0.03939323581766119,0.6970588235294117,models/zone_4_transformer/trial_025.h5
16,0.00025355632747153133,adam,2,23,64,2,64,2,0.21646570798901243,8,2,0.6675770846779706,0.27459807073954984,0.08295819935691319,0.6624025219959514,0.19865388219126745,0.7807073954983923,0.6610220470056698,0.2668621700879765,0.13196480938416422,0.6477155515438604,0.02030388338282385,0.7947214076246334,models/zone_4_transformer/trial_026.h5
16,0.00013424012461115846,rmsprop,3,8,64,2,64,2,0.26511299774856,8,2,0.6366739577597655,0.2676864244741874,0.07265774378585087,0.6325144905513498,0.26589039160987327,0.7820267686424475,0.6910340728847171,0.3146067415730337,0.0449438202247191,0.6895709846790601,-0.09982372289966746,0.7387640449438202,models/zone_4_transformer/trial_027.h5
32,0.00019685022602147184,adam,2,26,64,4,128,2,0.29753741279148804,4,4,0.6624112467295633,0.27512886597938147,0.053479381443298966,0.6602489042431321,0.21191604603926895,0.7789948453608248,0.663949096216618,0.3165680473372781,0.026627218934911243,0.6634149482628925,0.018820137157107397,0.7307692307692307,models/zone_4_transformer/trial_028.h5
16,0.0002626955692878899,rmsprop,1,12,128,4,128,2,0.2497370273047509,4,4,0.6295225650122515,0.26994256541161454,0.012125079770261647,0.6294057850863536,0.28307159360154666,0.7766432673899171,0.648424664440323,0.3068181818181818,-0.011363636363636364,0.6483250829816323,0.03782505910165479,0.7357954545454546,models/zone_4_transformer/trial_029.h5
16,0.0001861855538695081,rmsprop,3,18,128,4,64,2,0.20511576873830084,4,4,0.6570289025854076,0.2777421423989737,0.05965362411802438,0.6543152328672859,0.2220720386737054,0.7748556767158435,0.6988843297416115,0.33236994219653176,0.049132947976878616,0.6971551188806425,-0.10518059309380234,0.7254335260115607,models/zone_4_transformer/trial_030.h5
32,0.00025099303445855876,adam,3,23,128,2,64,1,0.21370363735675205,8,4,0.6872623024213333,0.2947232947232947,0.07207207207207207,0.6834728149361249,0.15116408002887416,0.7631917631917632,0.6588001178718155,0.31085043988269795,0.04105571847507331,0.6575195991667574,0.026879025105086773,0.7360703812316716,models/zone_4_transformer/trial_031.h5
32,0.00021874493112619735,rmsprop,3,25,128,4,64,2,0.23312395935789226,4,4,0.6315379689183913,0.24935567010309279,0.11662371134020619,0.6206763376662617,0.2836652459593355,0.8047680412371134,0.6718090752798138,0.2920353982300885,0.11504424778761062,0.6618853788076161,-0.007008892167902792,0.7669616519174042,models/zone_4_transformer/trial_032.h5
32,0.00013410241234933186,rmsprop,1,28,64,2,64,1,0.20189373675066127,8,4,0.6433711984794486,0.256608639587363,0.11476466795615732,0.6330525807717673,0.25660826991215857,0.7988394584139265,0.6362090102803518,0.2976190476190476,0.05952380952380952,0.6334183616391919,0.1035078082084282,0.7440476190476191,models/zone_4_transformer/trial_033.h5
16,0.00024115504643035306,adam,3,17,128,4,128,1,0.24596635320195864,8,4,0.6548634619874236,0.275,0.06217948717948718,0.6519047976662312,0.22676780436700894,0.7788461538461539,0.668345628370932,0.30835734870317005,0.01440922190201729,0.6681902822450462,-0.013129144062688392,0.7406340057636888,models/zone_4_transformer/trial_034.h5
16,0.00015580127918435135,rmsprop,1,16,128,2,128,2,0.24798034232020613,8,4,0.6267649424036348,0.2533589251439539,0.08445297504798464,0.6210491027541832,0.2908893420819295,0.7965451055662188,0.6342703292561561,0.27011494252873564,0.09195402298850575,0.6275693652744229,0.08536241950926482,0.7758620689655172,models/zone_4_transformer/trial_035.h5
32,0.000249467699943601,adam,1,24,128,4,64,1,0.2615677034414492,4,2,0.6455387341087494,0.2585209003215434,0.09517684887459807,0.638483848404193,0.2506893443866397,0.7954983922829582,0.6773651374345779,0.3058823529411765,0.058823529411764705,0.6748061364564699,-0.026236359414905985,0.75,models/zone_4_transformer/trial_036.h5
32,0.00012010898095546959,adam,1,24,64,4,128,2,0.2650538691874265,8,4,0.6723764066014964,0.2861736334405145,0.03022508038585209,0.6716967147976902,0.18709044614785142,0.7678456591639872,0.6507913734559685,0.31176470588235294,-0.011764705882352941,0.6506850263070509,0.05270489900162523,0.7294117647058823,models/zone_4_transformer/trial_037.h5
16,0.00028678452211564005,adam,2,22,64,4,64,1,0.22983922106620808,4,4,0.6561945288099428,0.2776349614395887,0.04113110539845758,0.6549041852124659,0.2253224417368197,0.7750642673521851,0.696692268479466,0.3391812865497076,0.005847953216374269,0.6966677245303126,-0.09093005380476549,0.7134502923976608,models/zone_4_transformer/trial_038.h5
16,0.00026176277564860396,rmsprop,1,30,128,4,64,1,0.2736617895492257,8,2,0.6295909500335165,0.2569399612653325,0.07359586830213041,0.6252746696716263,0.28889703023596625,0.7927695287282117,0.6656679145453007,0.32934131736526945,-0.005988023952095809,0.6656409813287031,0.023391812865496964,0.7125748502994012,models/zone_4_transformer/trial_039.h5
16,0.000136956240209468,adam,2,17,64,2,128,2,0.2235521252801534,8,4,0.6889816455316966,0.3017296604740551,0.05957719410634209,0.6864009512099903,0.1436297569708198,0.755285073670724,0.6769145119467819,0.30835734870317005,0.07204610951008646,0.6730695466210089,-0.039274412296564254,0.7463976945244957,models/zone_4_transformer/trial_040.h5
32,0.00023805807548376283,rmsprop,2,26,64,2,64,2,0.21531855646891793,8,4,0.6720678966681557,0.27255154639175255,0.10373711340206186,0.664013455462287,0.18877114283924745,0.7873711340206185,0.6986885432532673,0.3224852071005917,0.07396449704142012,0.6947625016153236,-0.08654145885286768,0.7396449704142012,models/zone_4_transformer/trial_041.h5
32,0.00011562054442948804,adam,1,24,64,2,64,2,0.2854486007394951,8,2,0.6809299485668885,0.2771704180064309,0.11768488745980707,0.6706831309335862,0.16627626126970252,0.7852090032154341,0.692395670629072,0.3264705882352941,0.05588235294117647,0.6901368902874561,-0.07228542682454919,0.7294117647058823,models/zone_4_transformer/trial_042.h5
32,0.0002446560159650005,rmsprop,2,7,64,2,64,2,0.23445288665621344,4,2,0.6427384126462529,0.2730744748567791,0.02864417568427753,0.6420998195688837,0.25102328957111464,0.77466581795035,0.6673665793703669,0.3165266106442577,-0.008403361344537815,0.6673136704568678,-0.02515802781289489,0.7282913165266106,models/zone_4_transformer/trial_043.h5
32,0.0001751291067603975,adam,3,18,64,2,128,1,0.2727858140906128,4,2,0.6422179336318657,0.2649134060295061,0.07119948685054522,0.6382589657424348,0.2567493623583842,0.7857601026298909,0.684257329142735,0.3179190751445087,0.06936416184971098,0.6807324772158562,-0.05940388213725445,0.7369942196531792,models/zone_4_transformer/trial_044.h5
16,0.00019212505570971925,adam,2,13,64,2,128,1,0.2240666294143212,4,2,0.6552808338765955,0.2722044728434505,0.08051118210862619,0.6503160161040769,0.22404939262652157,0.7801916932907348,0.6856277926728686,0.3162393162393162,0.03133903133903134,0.6849111878194144,-0.07640695859043922,0.7407407407407407,models/zone_4_transformer/trial_045.h5
32,0.00014686785569751232,adam,1,11,128,2,128,2,0.22369040347767208,4,2,0.6453325356997376,0.25956632653061223,0.09119897959183673,0.6388558740076363,0.2461982448907475,0.7940051020408163,0.6021679435959851,0.23796033994334279,0.10764872521246459,0.5924677073518428,0.16824976069508868,0.8073654390934845,models/zone_4_transformer/trial_046.h5
32,0.00023926168146181796,rmsprop,1,16,128,2,128,1,0.28493409322600405,8,2,0.6403973494598003,0.2591170825335892,0.10556621880998081,0.6316363974956644,0.25970695158716084,0.7933461292386437,0.6432675209026769,0.27011494252873564,0.10919540229885058,0.6339317530815664,0.059229917209529526,0.7816091954022989,models/zone_4_transformer/trial_047.h5
